Protein accession	Protein description	Gene name	MW [kDa]	Score	Coverage [%]	Peptides	Unique peptides	PSMs	A	B	C	A/B Ratio	A/B P value
Q6PL24	Protein TMED8	TMED8	35.74	16.099	11.4	3	3	3	0.799	1.112	1.122	0.719	9.03E-02
Q6PML9	Zinc transporter 9	SLC30A9	63.513999999999996	4.6793	3.5	2	2	2	1.157	0.977	0.853	1.184	
Q6Q0C0	E3 ubiquitin-protein ligase TRAF7	TRAF7	74.608	2.1768	2.8	2	2	2					
Q6QNY0	Biogenesis of lysosome-related organelles complex 1 subunit 3	BLOC1S3	21.255	7.7591	19.3	3	3	3	0.805	0.959	1.272	0.839	
Q6R327	Rapamycin-insensitive companion of mTOR	RICTOR	192.22	4.8222	1.3	2	2	2					
Q6RFH5	WD repeat-containing protein 74	WDR74	42.441	8.9446	4.2	1	1	1	1.325	0.786	0.858	1.686	
Q6RW13	Type-1 angiotensin II receptor-associated protein	AGTRAP	17.419	32.514	13.8	1	1	2	1.034	1.014	0.954	1.019	8.83E-01
Q6SJ93	Protein FAM111B	FAM111B	84.67299999999999	9.5944	8.0	6	6	6	0.878	0.926	1.223	0.948	5.02E-01
Q6SPF0	Atherin	SAMD1	56.051	5.1774	6.5	4	4	4					
Q6UB35	Monofunctional C1-tetrahydrofolate synthase, mitochondrial	MTHFD1L	105.79	84.219	20.0	16	16	27	1.216	0.939	0.869	1.295	1.83E-06
Q6ULP2	Aftiphilin	AFTPH	102.2	6.8875	2.6	2	2	2					
Q6UN15	Pre-mRNA 3-end-processing factor FIP1	FIP1L1	66.52600000000001	56.18	19.9	8	8	10	1.228	0.842	0.891	1.458	1.68E-04
Q6UUV7	CREB-regulated transcription coactivator 3	CRTC3	66.958	17.912	6.5	4	4	6	1.113	1.095	0.741	1.016	7.08E-01
Q6UVK1	Chondroitin sulfate proteoglycan 4	CSPG4	250.53	17.708	2.4	4	4	4	1.012	1.015	0.978	0.997	
Q6UW02	Cytochrome P450 20A1	CYP20A1	52.431999999999995	1.5883	1.7	1	1	1					
Q6UW56	All-trans retinoic acid-induced differentiation factor	ATRAID	24.746	1.5936	3.1	1	1	2					
Q6UW63	KDEL motif-containing protein 1	KDELC1	58.042	2.7091	4.2	2	2	2					
Q6UW68	Transmembrane protein 205	TMEM205	21.198	30.436	16.9	3	3	5	1.232	0.996	0.77	1.237	1.64E-02
Q6UW78	UPF0723 protein C11orf83	C11orf83	10.081	4.2951	21.5	2	2	2	1.156	0.927	0.905	1.247	1.54E-02
Q6UWE0	E3 ubiquitin-protein ligase LRSAM1	LRSAM1	83.59299999999999	70.702	17.2	11	11	12	0.75	1.098	1.167	0.683	2.47E-02
Q6UWP2	Dehydrogenase/reductase SDR family member 11	DHRS11	28.308000000000003	5.3768	9.6	3	3	3	0.634	1.133	1.287	0.56	
Q6UWP7	Lysocardiolipin acyltransferase 1	LCLAT1	48.92	1.6942	2.2	1	1	2					
Q6UWU4	Bombesin receptor-activated protein C6orf89	C6orf89	39.87	3.3318	3.7	1	1	2	1.194	0.93	0.858	1.284	5.95E-02
Q6UX53	Methyltransferase-like protein 7B	METTL7B	27.775	89.324	27.9	7	7	11	1.385	0.94	0.665	1.473	2.10E-04
Q6UXH1	Cysteine-rich with EGF-like domain protein 2	CRELD2	38.191	13.463	9.3	3	3	3	1.138	0.958	0.883	1.188	5.59E-03
Q6UXN9	WD repeat-containing protein 82	WDR82	35.079	7.4597	8.6	2	2	2	0.969	1.108	0.931	0.875	
Q6UXV4	MICOS complex subunit MIC27	APOOL	29.159000000000002	3.5892	9.7	2	2	3					
Q6VEQ5	WAS protein family homolog 2	WASH2P	50.31100000000001	49.803999999999995	18.1	7	7	8	0.912	1.097	1.014	0.831	2.60E-02
Q6VMQ6	Activating transcription factor 7-interacting protein 1	ATF7IP	136.39	1.5568	0.6	1	1	1	0.994	0.989	1.025	1.005	
Q6VN20	Ran-binding protein 10	RANBP10	67.256	7.1534	3.5	2	2	2	0.908	1.11	1.0	0.818	
Q6VY07	Phosphofurin acidic cluster sorting protein 1	PACS1	104.9	62.57	9.3	7	7	9	0.84	1.032	1.114	0.814	7.42E-04
Q6W2J9	BCL-6 corepressor	BCOR	192.19	21.438000000000002	4.8	7	7	7	1.107	1.049	0.875	1.055	8.83E-01
Q6WCQ1	Myosin phosphatase Rho-interacting protein	MPRIP	116.53	115.66	21.8	16	16	25	1.017	1.059	0.891	0.96	2.72E-01
Q6WKZ4	Rab11 family-interacting protein 1	RAB11FIP1	137.17	20.809	5.7	7	6	7	1.001	1.004	1.002	0.996	9.48E-01
Q6XQN6	Nicotinate phosphoribosyltransferase	NAPRT	57.578	63.126000000000005	27.9	14	14	19	0.8	1.139	1.073	0.702	1.17E-05
Q6XZF7	Dynamin-binding protein	DNMBP	177.35	8.0949	3.4	5	5	5	0.845	1.141	1.038	0.741	
Q6Y1H2	Very-long-chain (3R)-3-hydroxyacyl-CoA dehydratase 2	PTPLB	28.368000000000002	13.527000000000001	11.8	3	3	3	1.106	0.986	0.887	1.122	3.17E-02
Q6Y7W6	PERQ amino acid-rich with GYF domain-containing protein 2	GIGYF2	150.07	73.67399999999999	15.2	19	18	21	0.92	1.074	1.017	0.856	1.30E-04
Q6YHK3	CD109 antigen	CD109	161.69	2.3129	0.6	1	1	1	1.013	0.92	1.075	1.101	
Q6YHU6	Thyroid adenoma-associated protein	THADA	219.6	8.3422	1.9	4	4	5	1.129	0.8	1.067	1.411	
Q6YN16	Hydroxysteroid dehydrogenase-like protein 2	HSDL2	45.394	65.473	35.6	15	15	21	1.15	0.945	0.852	1.217	2.18E-07
Q6YP21	Kynurenine--oxoglutarate transaminase 3	CCBL2	51.4	13.31	9.9	4	4	5	0.956	1.039	1.017	0.92	
Q6ZMG9	Ceramide synthase 6	CERS6	44.888999999999996	3.3306	3.1	1	1	1					
Q6ZMI0	Protein phosphatase 1 regulatory subunit 21	PPP1R21	88.31299999999999	4.9431	2.9	2	2	2	0.967	1.046	0.998	0.924	
Q6ZMK1	Cysteine and histidine-rich protein 1	CYHR1	40.703	3.4245	2.5	1	1	1	0.757	1.126	1.154	0.672	
Q6ZN55	Zinc finger protein 574	ZNF574	98.899	4.0165	1.2	1	1	1	0.829	1.078	1.123	0.769	
Q6ZRH7	Cation channel sperm-associated protein subunit gamma	CATSPERG	133.03	-2.0	0.8	1	1	1	1.263	0.868	0.844	1.455	
Q6ZRP7	Sulfhydryl oxidase 2	QSOX2	77.528	29.272	13.0	7	7	12	1.153	0.933	0.87	1.236	5.58E-04
Q6ZRQ5	Protein MMS22-like	MMS22L	142.32	10.043	3.4	4	4	4	1.058	0.972	0.928	1.088	9.11E-01
Q6ZRS2	Helicase SRCAP	SRCAP	343.55	4.0619	0.6	2	2	2	1.16	0.946	0.881	1.226	
Q6ZS17	Protein FAM65A	FAM65A	132.31	24.142	5.5	7	7	8	0.904	1.059	1.057	0.854	2.33E-02
Q6ZS86	Putative glycerol kinase 5	GK5	59.155	2.2564	1.7	1	1	1					
Q6ZSJ8	Uncharacterized protein C1orf122	C1orf122	11.470999999999998	8.943	22.7	2	2	3	0.888	1.049	1.085	0.847	
Q6ZSS7	Major facilitator superfamily domain-containing protein 6	MFSD6	88.087	3.3369999999999997	1.8	1	1	1	0.938	1.025	1.052	0.915	
Q6ZSZ5	Rho guanine nucleotide exchange factor 18	ARHGEF18	130.78	3.2046	1.4	2	2	3					
Q6ZTN6	Ankyrin repeat domain-containing protein 13D	ANKRD13D	58.475	6.6982	2.3	1	1	1	0.959	1.159	0.891	0.827	
Q6ZUT6	Uncharacterized protein C15orf52	C15orf52	57.324	3.3458	3.4	2	2	2					
Q6ZUT9	DENN domain-containing protein 5B	DENND5B	145.02	3.9168	1.8	3	1	1	1.109	0.983	0.901	1.128	
Q6ZW31	Rho GTPase-activating protein SYDE1	SYDE1	79.792	3.9326	1.6	1	1	2	1.033	0.974	0.996	1.061	7.27E-01
Q6ZXV5	Transmembrane and TPR repeat-containing protein 3	TMTC3	104.01	42.446999999999996	6.0	5	5	6	1.075	0.956	0.938	1.124	9.11E-03
Q702N8	Xin actin-binding repeat-containing protein 1	XIRP1	198.56	1.6340000000000001	0.9	2	2	2	1.07	1.053	0.873	1.016	
Q709C8	Vacuolar protein sorting-associated protein 13C	VPS13C	422.39	17.257	1.9	6	6	6	0.93	1.104	0.985	0.842	4.79E-04
Q709F0	Acyl-CoA dehydrogenase family member 11	ACAD11	87.28200000000001	3.0887	2.2	2	2	2	0.908	1.152	0.955	0.788	
Q70CQ2	Ubiquitin carboxyl-terminal hydrolase 34	USP34	404.23	8.1084	0.9	3	3	4	1.055	1.03	0.976	1.024	9.65E-01
Q70EL1	Inactive ubiquitin carboxyl-terminal hydrolase 54	USP54	187.39	1.6367	0.4	1	1	1	0.96	0.933	1.122	1.029	
Q70J99	Protein unc-13 homolog D	UNC13D	123.28	25.017	8.3	7	7	7	1.016	1.013	0.976	1.003	9.52E-01
Q70UQ0	Inhibitor of nuclear factor kappa-B kinase-interacting protein	IKBIP	39.309	34.025999999999996	23.4	8	8	10	1.182	0.89	0.897	1.328	1.63E-03
Q712K3	Ubiquitin-conjugating enzyme E2 R2	UBE2R2	27.166	10.622	16.0	4	4	4	0.857	1.146	1.02	0.748	2.95E-02
Q719H9	BTB/POZ domain-containing protein KCTD1	KCTD1	29.404	17.303	5.4	1	1	2	0.904	0.976	1.142	0.927	4.42E-01
Q71F23	Centromere protein U	CENPU	47.521	4.9737	6.9	3	3	5	0.956	0.883	1.228	1.083	1.08E-01
Q71RC2	La-related protein 4	LARP4	80.595	57.871	13.0	8	8	12	1.036	0.963	1.042	1.076	5.42E-01
Q75N03	E3 ubiquitin-protein ligase Hakai	CBLL1	54.519	3.7709	4.1	2	2	2					
Q75QN2	Integrator complex subunit 8	INTS8	113.09	17.695	2.2	1	1	1	0.99	1.104	0.912	0.897	
Q76FK4	Nucleolar protein 8	NOL8	131.61	14.597999999999999	5.7	6	6	7	1.11	0.845	1.02	1.314	1.46E-03
Q76L83	Putative Polycomb group protein ASXL2	ASXL2	153.82	1.598	0.7	1	1	2					
Q76N89	E3 ubiquitin-protein ligase HECW1	HECW1	179.55	8.607999999999999	2.7	5	4	4	1.22	0.848	0.914	1.439	
Q7KZ85	Transcription elongation factor SPT6	SUPT6H	199.07	85.704	12.5	18	18	21	1.042	0.919	1.016	1.134	1.26E-04
Q7KZF4	Staphylococcal nuclease domain-containing protein 1	SND1	102.0	312.11	44.1	37	37	67	1.024	1.074	0.905	0.953	1.88E-02
Q7KZI7	Serine/threonine-protein kinase MARK2	MARK2	87.91	9.7318	4.4	4	2	2	0.864	1.07	1.09	0.807	
Q7KZN9	Cytochrome c oxidase assembly protein COX15 homolog	COX15	46.03	23.741	11.2	3	3	4	1.304	0.837	0.83	1.558	2.00E-02
Q7L014	Probable ATP-dependent RNA helicase DDX46	DDX46	117.36	162.02	34.8	34	34	51	1.016	0.936	1.026	1.085	6.22E-07
Q7L0Y3	Mitochondrial ribonuclease P protein 1	TRMT10C	47.346000000000004	72.992	34.0	13	13	18	1.207	0.904	0.877	1.335	1.45E-10
Q7L1Q6	Basic leucine zipper and W2 domain-containing protein 1	BZW1	48.043	46.522	28.9	14	14	25	0.867	1.15	1.027	0.754	2.76E-11
Q7L1W4	Volume-regulated anion channel subunit LRRC8D	LRRC8D	98.2	4.9082	1.5	1	1	1					
Q7L266	Isoaspartyl peptidase/L-asparaginase	ASRGL1	32.054	5.6796	5.5	2	2	3	0.73	1.081	1.232	0.675	1.06E-02
Q7L273	BTB/POZ domain-containing protein KCTD9	KCTD9	42.566	3.8589	5.4	2	2	2					
Q7L2E3	Putative ATP-dependent RNA helicase DHX30	DHX30	133.94	103.55	22.4	23	23	36	1.192	0.913	0.863	1.306	7.21E-09
Q7L2H7	Eukaryotic translation initiation factor 3 subunit M	EIF3M	42.501999999999995	64.318	28.6	11	11	21	0.84	1.059	1.098	0.794	9.69E-04
Q7L2J0	7SK snRNA methylphosphate capping enzyme	MEPCE	74.354	14.907	11.2	7	7	8	1.108	0.952	0.977	1.164	4.88E-01
Q7L2Z9	Centromere protein Q	CENPQ	30.595	4.2706	6.0	1	1	1					
Q7L3T8	Probable proline--tRNA ligase, mitochondrial	PARS2	53.262	5.559	5.5	2	2	3	0.992	1.031	0.985	0.962	
Q7L4I2	Arginine/serine-rich coiled-coil protein 2	RSRC2	50.559	2.5142	2.8	1	1	1					
Q7L576	Cytoplasmic FMR1-interacting protein 1	CYFIP1	145.18	57.724	12.9	14	14	16	0.935	1.052	1.028	0.889	1.92E-04
Q7L592	NADH dehydrogenase [ubiquinone] complex I, assembly factor 7	NDUFAF7	49.236999999999995	13.662	4.5	2	2	3					
Q7L5D6	Golgi to ER traffic protein 4 homolog	GET4	36.504	3.4852	4.6	1	1	1	1.036	1.021	0.945	1.015	
Q7L5N1	COP9 signalosome complex subunit 6	COPS6	36.163000000000004	71.899	25.4	7	7	12	0.889	1.009	1.099	0.881	1.11E-03
Q7L5Y1	Mitochondrial enolase superfamily member 1	ENOSF1	49.786	13.155999999999999	5.0	2	2	2	0.705	1.225	1.111	0.576	
Q7L5Y9	Macrophage erythroblast attacher	MAEA	45.287	6.7604	6.6	3	3	3	0.916	1.001	1.103	0.916	4.38E-01
Q7L8L6	FAST kinase domain-containing protein 5	FASTKD5	86.573	6.805	2.9	2	2	2	1.009	0.937	1.061	1.077	
Q7L8W6	Diphthine--ammonia ligase	DPH6	30.305999999999997	7.9222	5.6	2	2	2	0.805	1.251	0.971	0.643	
Q9H8S9	MOB kinase activator 1A	MOB1A	25.079	9.9593	10.6	2	2	4	0.929	1.027	1.077	0.905	1.70E-01
Q7LBC6	Lysine-specific demethylase 3B	KDM3B	191.58	41.446999999999996	5.1	7	7	8	0.98	1.063	0.965	0.922	1.94E-01
Q7LBR1	Charged multivesicular body protein 1b	CHMP1B	22.109	6.6611	12.1	3	3	5	0.91	1.132	0.992	0.804	6.27E-03
Q7LG56	Ribonucleoside-diphosphate reductase subunit M2 B	RRM2B	40.736	43.548	11.7	4	2	2	0.65	1.145	1.256	0.568	8.56E-02
Q7LGA3	Heparan sulfate 2-O-sulfotransferase 1	HS2ST1	41.881	28.294	6.5	2	2	3	1.168	0.922	0.896	1.267	6.62E-02
Q7LGC8	Carbohydrate sulfotransferase 3	CHST3	54.705	13.55	3.3	1	1	1	1.138	1.012	0.838	1.125	
Q7RTP6	Protein-methionine sulfoxide oxidase MICAL3	MICAL3	224.29	18.706	3.1	6	6	8	0.947	1.024	1.014	0.925	2.10E-01
Q7RTV0	PHD finger-like domain-containing protein 5A	PHF5A	12.405	19.823	34.5	4	4	7	1.156	0.837	1.032	1.381	1.17E-02
Q7Z2E3	Aprataxin	APTX	40.74	5.4307	2.8	1	1	1					
Q7Z2K6	Endoplasmic reticulum metallopeptidase 1	ERMP1	100.23	6.9442	2.7	2	2	3	1.209	0.952	0.818	1.269	6.58E-02
Q7Z2K8	G protein-regulated inducer of neurite outgrowth 1	GPRIN1	102.4	3.7515	1.2	1	1	1	1.029	0.936	1.04	1.099	
Q7Z2T5	TRMT1-like protein	TRMT1L	81.74600000000001	19.764	10.1	8	8	11	1.076	0.936	0.998	1.15	1.26E-01
Q7Z2W4	Zinc finger CCCH-type antiviral protein 1	ZC3HAV1	101.43	132.61	28.8	23	23	26	1.025	0.959	0.982	1.069	7.60E-01
Q7Z2W9	39S ribosomal protein L21, mitochondrial	MRPL21	22.814	12.914000000000001	28.3	6	6	10	1.036	0.996	0.981	1.04	1.99E-01
Q7Z2Z2	Elongation factor Tu GTP-binding domain-containing protein 1	EFTUD1	125.43	23.851999999999997	5.7	7	7	7	0.725	1.211	1.102	0.599	4.44E-03
Q7Z309	Protein FAM122B	FAM122B	26.928	7.1879	10.5	2	2	2	0.771	1.188	1.075	0.649	
Q7Z333	Probable helicase senataxin	SETX	302.88	14.615	1.7	4	4	4	1.106	0.905	1.009	1.222	1.36E-04
Q7Z392	Trafficking protein particle complex subunit 11	TRAPPC11	128.88	9.1131	2.3	2	2	2	1.029	1.034	0.939	0.995	
Q7Z3B4	Nucleoporin p54	NUP54	55.435	64.369	24.3	12	12	15	1.121	0.942	0.967	1.19	6.27E-04
Q7Z3C6	Autophagy-related protein 9A	ATG9A	94.446	4.263999999999999	1.2	1	1	1					
Q7Z3D4	LysM and putative peptidoglycan-binding domain-containing protein 3	LYSMD3	34.537	4.4688	4.6	1	1	1	1.102	1.023	0.868	1.077	
Q7Z3K3	Pogo transposable element with ZNF domain	POGZ	155.34	55.159	9.4	11	11	11	1.092	0.903	1.029	1.209	4.67E-03
Q7Z3K6	Mesoderm induction early response protein 3	MIER3	61.43600000000001	4.5784	2.0	1	1	1	0.953	0.976	1.085	0.976	
Q7Z3T8	Zinc finger FYVE domain-containing protein 16	ZFYVE16	168.9	14.901	2.8	3	3	3	0.981	1.013	1.015	0.968	1.25E-01
Q7Z3U7	Protein MON2 homolog	MON2	190.36	4.8974	1.7	3	3	3					
Q7Z401	C-myc promoter-binding protein	DENND4A	209.24	4.0615	0.8	1	1	1					
Q7Z406	Myosin-14	MYH14	227.87	16.188	5.4	11	4	5	0.978	1.01	1.13	0.968	8.17E-01
Q7Z412	Peroxisome assembly protein 26	PEX26	33.898	7.8896	7.5	2	2	2	0.975	0.96	1.077	1.016	
Q7Z417	Nuclear fragile X mental retardation-interacting protein 2	NUFIP2	76.12	69.203	19.4	12	12	16	0.997	1.031	0.98	0.967	1.69E-02
Q7Z422	SUZ domain-containing protein 1	SZRD1	16.997	66.292	31.6	4	4	4	0.748	1.168	1.122	0.64	2.80E-02
Q7Z434	Mitochondrial antiviral-signaling protein	MAVS	56.527	9.5358	8.0	4	4	4	1.091	0.933	1.007	1.169	3.25E-01
Q7Z460	CLIP-associating protein 1	CLASP1	169.45	75.84100000000001	11.1	15	13	14	0.958	1.059	0.978	0.905	2.11E-02
Q7Z478	ATP-dependent RNA helicase DHX29	DHX29	155.23	63.513999999999996	8.6	10	10	14	0.939	1.036	0.964	0.906	1.54E-01
Q7Z4G4	tRNA (guanine(10)-N2)-methyltransferase homolog	TRMT11	53.42	9.4131	2.6	1	1	2	0.783	1.235	1.013	0.634	
Q7Z4H3	HD domain-containing protein 2	HDDC2	23.39	55.321000000000005	31.4	5	5	5	0.752	1.298	1.018	0.579	1.26E-04
Q7Z4H7	HAUS augmin-like complex subunit 6	HAUS6	108.62	7.0191	1.4	1	1	1					
Q7Z4H8	KDEL motif-containing protein 2	KDELC2	58.571999999999996	23.703000000000003	14.2	7	7	8	1.008	0.988	1.011	1.02	6.60E-02
Q7Z4Q2	HEAT repeat-containing protein 3	HEATR3	74.582	29.831	10.0	6	6	8	0.906	1.106	0.995	0.819	5.12E-02
Q7Z4S6	Kinesin-like protein KIF21A	KIF21A	187.18	75.687	8.0	13	11	15	0.772	1.18	1.052	0.654	1.33E-07
Q7Z4V0	Zinc finger protein 438	ZNF438	91.835	-2.0	1.0	1	1	1	1.293	0.85	0.829	1.521	
Q7Z4V5	Hepatoma-derived growth factor-related protein 2	HDGFRP2	74.316	8.3841	7.7	6	5	7	0.983	1.012	1.051	0.971	8.78E-01
Q7Z4W1	L-xylulose reductase	DCXR	25.913	5.0783	7.4	2	2	2	0.977	0.986	1.047	0.991	
Q7Z569	BRCA1-associated protein	BRAP	67.304	31.375999999999998	14.9	7	7	8	0.855	1.028	1.089	0.832	9.75E-02
Q7Z589	Protein EMSY	EMSY	141.47	11.982999999999999	2.6	3	3	3	1.067	0.987	0.944	1.081	
Q7Z5G4	Golgin subfamily A member 7	GOLGA7	15.824000000000002	22.068	29.9	4	3	3	1.223	0.883	0.875	1.385	
Q7Z5H4	Vomeronasal type-1 receptor 5	VN1R5	40.778	1.7028	2.0	1	1	2	1.192	1.16	0.624	1.028	9.80E-01
Q7Z5K2	Wings apart-like protein homolog	WAPAL	132.94	37.978	6.6	7	7	7	0.998	1.053	1.06	0.948	3.50E-01
Q7Z5L9	Interferon regulatory factor 2-binding protein 2	IRF2BP2	61.023999999999994	81.252	16.5	8	8	11	1.01	1.013	0.954	0.997	4.42E-01
Q7Z6B7	SLIT-ROBO Rho GTPase-activating protein 1	SRGAP1	124.26	6.1446	2.9	3	2	2					
Q7Z6E9	E3 ubiquitin-protein ligase RBBP6	RBBP6	201.56	27.983	7.7	11	11	12	1.106	0.899	0.952	1.23	8.54E-05
Q7Z6J0	E3 ubiquitin-protein ligase SH3RF1	SH3RF1	93.12799999999999	1.7098	1.4	1	1	1	1.036	1.015	0.951	1.021	
Q7Z6J9	tRNA-splicing endonuclease subunit Sen54	TSEN54	58.818999999999996	5.0248	5.7	2	2	2					
Q7Z6K5	Arpin	ARPIN	24.943	18.016	22.6	5	5	5	0.723	1.095	1.191	0.66	5.96E-04
Q7Z6M1	Rab9 effector protein with kelch motifs	RABEPK	40.564	3.8497	5.9	2	2	2					
Q7Z6Z7	E3 ubiquitin-protein ligase HUWE1	HUWE1	481.89	323.31	14.9	56	56	78	0.802	1.142	1.066	0.703	1.23E-14
Q7Z739	YTH domain-containing family protein 3	YTHDF3	63.86	30.747	12.5	6	4	4	0.944	1.067	0.997	0.885	7.84E-03
Q7Z7E8	Ubiquitin-conjugating enzyme E2 Q1	UBE2Q1	46.126000000000005	1.5782	1.9	1	1	1					
Q7Z7F0	UPF0469 protein KIAA0907	KIAA0907	64.845	7.1111	4.6	2	2	2					
Q7Z7F7	39S ribosomal protein L55, mitochondrial	MRPL55	15.128	44.599	12.5	1	1	4	1.285	0.886	0.768	1.45	2.97E-03
Q7Z7H5	Transmembrane emp24 domain-containing protein 4	TMED4	25.943	54.722	40.1	8	7	8	1.193	1.012	0.776	1.179	9.63E-02
Q7Z7H8	39S ribosomal protein L10, mitochondrial	MRPL10	29.281999999999996	8.3661	10.3	2	2	2					
Q7Z7K6	Centromere protein V	CENPV	29.945999999999998	48.905	33.1	8	8	13	1.036	0.898	1.042	1.154	1.01E-02
Q86SE9	Polycomb group RING finger protein 5	PCGF5	29.714000000000002	7.417000000000001	4.3	1	1	2	1.16	0.934	0.892	1.241	1.11E-01
Q86SF2	N-acetylgalactosaminyltransferase 7	GALNT7	75.388	5.5024	2.9	2	2	2	1.199	0.954	0.829	1.257	
Q86SQ0	Pleckstrin homology-like domain family B member 2	PHLDB2	142.16	4.8665	1.8	2	2	3	1.068	0.938	0.994	1.139	2.10E-01
Q86SX3	Uncharacterized protein C14orf80	C14orf80	54.231	2.2633	2.4	1	1	1					
Q86SX6	Glutaredoxin-related protein 5, mitochondrial	GLRX5	16.628	50.617	28.0	3	3	4	1.155	0.943	0.878	1.225	5.84E-02
Q86T03	Type 1 phosphatidylinositol 4,5-bisphosphate 4-phosphatase	TMEM55B	29.469	1.5482	2.5	1	1	1					
Q86T24	Transcriptional regulator Kaiso	ZBTB33	74.484	2.4291	1.9	1	1	1					
Q86TB9	Protein PAT1 homolog 1	PATL1	86.84899999999999	20.082	7.7	4	4	4	0.935	0.983	1.067	0.951	6.45E-01
Q86TG7	Retrotransposon-derived protein PEG10	PEG10	80.172	23.544	8.8	7	7	8	0.883	1.011	1.129	0.873	7.60E-02
Q86TI2	Dipeptidyl peptidase 9	DPP9	98.262	13.049000000000001	4.4	4	4	5	0.888	1.053	1.086	0.843	9.00E-03
Q86TP1	Protein prune homolog	PRUNE	50.199	7.3532	5.5	2	2	2	0.841	1.128	1.057	0.746	
Q86TU7	Histone-lysine N-methyltransferase setd3	SETD3	67.256	54.651	18.7	11	11	13	0.87	1.039	1.146	0.837	6.20E-05
Q86TW2	Uncharacterized aarF domain-containing protein kinase 1	ADCK1	60.577	3.1248	2.5	1	1	1					
Q86U28	Iron-sulfur cluster assembly 2 homolog, mitochondrial	ISCA2	16.476	12.187999999999999	7.8	1	1	1	0.991	1.049	0.968	0.945	
Q86U38	Nucleolar protein 9	NOP9	69.437	35.528	9.3	5	5	8	1.113	0.97	0.903	1.147	1.39E-02
Q86U42	Polyadenylate-binding protein 2	PABPN1	32.749	30.304000000000002	14.1	5	5	11	1.125	0.886	0.966	1.27	4.42E-04
Q86U44	N6-adenosine-methyltransferase 70 kDa subunit	METTL3	64.473	8.831	4.0	2	2	3	0.918	0.978	1.122	0.938	5.58E-01
Q86U86	Protein polybromo-1	PBRM1	192.95	14.027999999999999	5.0	10	10	13	1.104	0.914	0.956	1.209	2.80E-04
Q86U90	YrdC domain-containing protein, mitochondrial	YRDC	29.328000000000003	4.7459	9.3	2	2	2	0.845	1.058	1.124	0.799	6.97E-02
Q86UA1	Pre-mRNA-processing factor 39	PRPF39	78.429	2.633	2.5	2	2	2					
Q86UB9	Transmembrane protein 135	TMEM135	52.29	4.0844	4.6	2	2	2	0.949	1.195	0.866	0.794	
Q86UD0	Suppressor APC domain-containing protein 2	SAPCD2	42.636	8.3943	3.8	1	1	1	0.883	1.102	1.035	0.801	
Q86UE4	Protein LYRIC	MTDH	63.836000000000006	59.751999999999995	25.6	13	13	21	1.199	0.954	0.828	1.256	1.90E-06
Q86UK0	ATP-binding cassette sub-family A member 12	ABCA12	293.23	-2.0	0.4	1	1	1	1.116	0.981	0.894	1.138	
Q86UK7	Zinc finger protein 598	ZNF598	98.63600000000001	9.8495	6.5	6	6	7	1.014	0.996	0.996	1.018	6.94E-01
Q86UL3	Glycerol-3-phosphate acyltransferase 4	AGPAT6	52.07	8.8365	6.8	3	3	3					
Q86UP2	Kinectin	KTN1	156.27	323.31	41.6	57	57	69	1.149	0.9	0.937	1.277	1.07E-22
Q86US8	Telomerase-binding protein EST1A	SMG6	160.46	2.4381	0.6	1	1	1					
Q86UT6	NLR family member X1	NLRX1	107.61	2.0884	0.7	1	1	1	0.955	1.058	0.999	0.903	
Q86UU0	B-cell CLL/lymphoma 9-like protein	BCL9L	157.13	5.8573	1.4	2	2	2	1.09	0.982	0.923	1.11	
Q86UU1	Pleckstrin homology-like domain family B member 1	PHLDB1	151.16	3.2348	1.0	1	1	1					
Q86UV5	Ubiquitin carboxyl-terminal hydrolase 48	USP48	119.03	29.261	7.0	8	8	11	0.909	1.059	1.057	0.858	1.67E-02
Q86UY6	N-alpha-acetyltransferase 40	NAA40	27.194000000000003	9.6059	5.1	1	1	4	1.177	0.967	0.861	1.217	2.83E-03
Q86V21	Acetoacetyl-CoA synthetase	AACS	75.143	58.79	10.1	6	6	7	0.764	1.203	1.036	0.635	1.48E-05
Q86V48	Leucine zipper protein 1	LUZP1	120.27	55.163000000000004	14.5	13	13	14	1.007	0.98	0.996	1.028	3.35E-01
Q86V81	THO complex subunit 4	ALYREF	26.888	139.7	49.4	11	11	26	1.172	0.885	0.903	1.324	7.55E-09
Q86V88	Magnesium-dependent phosphatase 1	MDP1	20.109	29.436999999999998	9.1	1	1	1	0.759	1.077	1.202	0.705	
Q86V97	Kelch repeat and BTB domain-containing protein 6	KBTBD6	76.137	10.319	3.9	3	3	3	0.945	0.97	1.101	0.974	
Q86VI3	Ras GTPase-activating-like protein IQGAP3	IQGAP3	184.7	12.845	3.6	5	3	3	1.147	1.018	0.822	1.127	1.01E-01
Q86VM9	Zinc finger CCCH domain-containing protein 18	ZC3H18	106.38	24.203000000000003	6.2	5	5	6	1.145	0.849	0.985	1.349	2.79E-02
Q86VN1	Vacuolar protein-sorting-associated protein 36	VPS36	43.816	11.457	16.3	5	5	6	0.973	0.958	1.082	1.016	7.74E-01
Q86VP1	Tax1-binding protein 1	TAX1BP1	90.876	7.2363	5.6	5	5	6					
Q86VP6	Cullin-associated NEDD8-dissociated protein 1	CAND1	136.37	184.57	24.6	31	31	52	0.841	1.096	1.063	0.768	7.02E-13
Q86VQ1	Glucocorticoid-induced transcript 1 protein	GLCCI1	58.023	9.3166	4.6	2	2	2					
